,Title,Published_date,Views,Comments,Likes,Month
73,99 Songs Arrives on Netflix This May | Trailer (Telugu) | A.R. Rahman’s Musical Masterpiece,2021-05-19,40412,73,1107,May
74,99 Songs Arrives on Netflix This May | Trailer (Tamil) | A.R. Rahman’s Musical Masterpiece,2021-05-19,71002,249,3571,May
75,Chennai Rooftop Jam | A.R. Rahman | Rang De Basanti | Veere Kadh De | Balleilakka,2021-04-21,4747926,4118,147338,Apr
76,Virtual Red Carpet with Edilsy Vargas: The Latina Leading Lady of 99 Songs,2021-04-20,94836,111,3082,Apr
77,"99 Songs | Digital Concert - Telugu | A. R. Rahman, Ehan Bhat | In Cinemas April 16th, 2021",2021-04-14,137236,391,4653,Apr
78,"99 Songs | Digital Concert - Hindi | A. R. Rahman, Ehan Bhat | In Cinemas April 16th, 2021",2021-04-14,781192,1406,22756,Apr
79,99 Songs | Score | The Enigma | A.R Rahman | Ehan Bhat | Edilsy Vargas| Lisa Ray | Manisha Koirala,2021-04-10,104666,288,4328,Apr
80,#AskMeAnything 99 Questions With Ehan Bhat - Part 3 | A.R. Rahman | 99 Songs,2021-04-09,49067,129,1788,Apr
81,#AskMeAnything  99 Questions With Ehan Bhat - Part 2  | A.R. Rahman | 99 Songs,2021-04-02,83339,117,2368,Apr
82,#AskMeAnything 99 Questions With Ehan Bhat - Part 1  | A.R. Rahman | 99 Songs,2021-03-31,65778,151,2549,Mar
83,99 Songs | Official Trailer (Hindi) | AR Rahman | Ehan Bhatt | Edilsy | Lisa Ray | Manisha Koirala,2021-03-23,10312996,836,25308,Mar
84,99 Songs | Official Trailer (Telugu) | AR Rahman | Ehan Bhatt | Edilsy | Lisa Ray | Manisha Koirala,2021-03-23,5033998,149,2533,Mar
85,99 Songs | Official Trailer (Tamil) | AR Rahman | Ehan Bhatt | Edilsy | Lisa Ray | Manisha Koirala,2021-03-23,5156592,755,21231,Mar
86,The AR Rahman Show | Fluid Pitch,2021-02-10,241614,919,18291,Feb
87,"FUTUREPROOF | A.R. Rahman | Representing Indian Creative Arts, Tech & Innovation Globally | Part 1",2021-01-20,416704,1298,30885,Jan
88,A R Rahman | The Mission Paani Anthem - Official Song | Prasoon Joshi | Harpic India | News18,2020-11-19,1649853,2068,38863,Nov
89,Original Soundtrack Jukebox | Muhammad 'The Messenger of God' | By A. R. Rahman ft. Le Trio Joubran,2020-11-17,172180,0,0,Nov
90,Swami V. Dakshinamoorthy & Kaviko In Conversation | A.R. Rahman | From The Archives,2020-10-25,370235,654,12340,Oct
91,Celebrating S. P. Balasubrahmanyam | A. R. Rahman,2020-09-26,2834344,3629,116786,Sep
92,25 Years of Rangeela | A.R. Rahman | Asha Bhosle | Udit Narayan | Hariharan & More,2020-09-19,874252,1489,24123,Sep
93,"A.R. Rahman | will.i.am | Rare Conversation About Music, Creativity and Future Collaboration",2020-09-09,614387,1149,31019,Sep
94,A.R. Rahman | Arijit Singh | In Conversation | All About Music 2020,2020-08-31,1617363,4504,73905,Aug
95,Sai Shirdi Sai - Official Music Video | A.R. Rahman | Bela Shende | 99 Songs,2020-07-05,3799339,2447,51403,Jul
96,Say No To Drugs | A.R. Rahman | International Day Against Drug Abuse and Illicit Trafficking,2020-06-26,264971,686,19237,Jun
97,Pray For Me Brother |  A.R. Rahman | BlaaZe,2020-06-09,393955,1098,19630,Jun
98,Stop Child Abuse Now | Call 1098 | Short Film,2020-06-05,100259,149,3547,Jun
99,Shikara - OST Jukebox - A.R. Rahman & Qutub-E-Kripa | Aadil & Sadia | Vidhu Vinod Chopra,2020-05-28,221548,749,8658,May
100,O Aashiqa - 99 Songs | A.R. Rahman ft. Shashwat Singh & Ehan Bhat,2020-05-25,444691,923,18028,May
101,Ahimsa Live | A.R. Rahman | U2 | AR Ameen | Various Artists,2020-05-19,311033,697,16356,May
102,A.R. Rahman | Hum Haar Nahin Maanenge - Official Song | Prasoon Joshi | HDFC Bank | Various Artists,2020-05-02,5923261,1744,48185,May
103,Hands Around The World - Trailer | A. R. Rahman | Ken Kragen | Neil Morgan,2020-04-22,155597,240,6257,Apr
104,Hands Around The World -  Song Intro | A.R. Rahman,2020-04-22,108755,234,4889,Apr
105,Honesty - Pink Sweat$ | Cover By A R Ameen,2019-12-30,377102,600,19294,Dec
106,Jingle Bell Rock | Raheema & Friends | Merry X'mas,2019-12-24,233051,320,9540,Dec
107,"Ahimsa Intro | By Raheema, Khatija and Friends | A R Rahman",2019-12-12,377223,270,10551,Dec
108,Light Upon Light | A. R. Rahman | Ft. Sami Yusuf,2019-11-09,497486,1257,20219,Nov
109,A. R. Rahman x A.R. Ameen | Jam Sessions,2019-10-21,10814127,4018,217204,Oct
110,YM Movies | A. R. Rahman,2019-10-09,55610,155,3488,Oct
111,Nis Din | A. R. Rahman | Ranjit Barot | Jonita Gandhi | Antara Nandy | Jammin Season 2,2019-09-10,6825525,774,29321,Sep
112,A.R. Rahman - For You My Love (O Bandeya) (Official Music Video),2019-09-06,4543889,2644,138319,Sep
113,A.R. Rahman - For You My Love (O Bandeya) (Audio),2019-08-09,163701,229,5791,Aug
114,Scent of a Song from Le Musk at Cannes XR,2019-05-20,40324,76,1415,May
115,A.R. Rahman - Gurus of Peace (Lyric Video) ft. Nusrat Fateh Ali Khan,2019-04-20,80363,91,2566,Apr
116,A. R. Rahman | Celebrating 10 Years of Slumdog Millionaire | Anil Kapoor | Gulzar | Sukhwinder Singh,2019-02-22,145281,206,6302,Feb
117,Pooja Tiwari | Dil Ki Harkatein | Official Music Video | #ARRivedSeries,2018-12-21,4964397,160,4237,Dec
118,Swagat Rathod | Voice Of Zero | #ARRivedSeries,2018-12-20,4012657,155,2624,Dec
119,Shah Rukh Khan | Anushka Sharma | Aanand L Rai | ZERO | #ARRivedSeries,2018-12-19,3816895,61,1493,Dec
120,"Season Finale | A. R. Rahman, Clinton Cerejo, Shaan, Vidya Vox  | #ARRivedSeries",2018-12-19,0,355,9555,Dec
121,"Season Finale | A. R. Rahman, Clinton Cerejo, Shaan, Vidya Vox  | #ARRivedSeries",2018-12-19,2665325,4560,21334,Dec
122,Recording Studio | Amrita Talukder | #ARRivedSeries,2018-12-19,101181,22,533,Dec
123,Recording Studio | Pooja Tiwari | #ARRivedSeries,2018-12-19,144414,31,1311,Dec
124,Recording Studio | Madhur Dhir | #ARRivedSeries,2018-12-19,72834,14,299,Dec
125,Recording Studio | Swagat Rathod | #ARRivedSeries,2018-12-19,246963,106,3381,Dec
126,Recording Studio | Sam Chandel | #ARRivedSeries,2018-12-19,83103,45,770,Dec
127,Recording Studio | Sarthak Kalyani | #ARRivedSeries,2018-12-19,138916,36,1389,Dec
128,Recording Studio | Deepakshi Kalita | #ARRivedSeries,2018-12-19,74917,11,408,Dec
129,A. R. Rahman | Antara Nandy | Performer Of The Day | #ARRivedSeries,2018-12-18,2325948,617,31724,Dec
130,A. R. Rahman | Ajay Tiwari | Performer Of The Day | #ARRivedSeries,2018-12-18,208741,63,2186,Dec
131,A. R. Rahman | Shazi Ahmad | Performer Of The Day | #ARRivedSeries,2018-12-18,944856,2397,11333,Dec
132,Amrita Talukder | Chal Yun Karen | Official Music Video | #ARRivedSeries,2018-12-18,3980344,185,3343,Dec
133,Swagat Rathod | Sarthak Kalyani | Rab Hai Mera | Official Music Video | #ARRivedSeries,2018-12-18,3960517,486,11650,Dec
134,"Ep 13 | A. R. Rahman, Clinton Cerejo, Shaan, Vidya Vox  | #ARRivedSeries",2018-12-18,0,112,985,Dec
135,"Ep 13 | A. R. Rahman, Clinton Cerejo, Shaan, Vidya Vox  | #ARRivedSeries",2018-12-18,3073357,3990,7318,Dec
136,Recording Studio | Ajay Tiwari | #ARRivedSeries,2018-12-18,72372,23,414,Dec
137,Recording Studio | Swagat Rathod | #ARRivedSeries,2018-12-18,132299,55,1340,Dec
138,A. R. Rahman | Sarthak Kalyani | Performer Of The Day | #ARRivedSeries,2018-12-17,252158,90,2667,Dec
139,A. R. Rahman | Deepakshi Kalita | Performer Of The Day | #ARRivedSeries,2018-12-17,145927,76,1855,Dec
140,A. R. Rahman | Shazi Ahmad | Performer Of The Day | #ARRivedSeries,2018-12-17,123616,28,1125,Dec
141,"Ep 12 | A. R. Rahman, Clinton Cerejo, Shaan, Vidya Vox  | #ARRivedSeries",2018-12-17,675503,3044,7001,Dec
142,"Ep 12 | A. R. Rahman, Clinton Cerejo, Shaan, Vidya Vox  | #ARRivedSeries",2018-12-17,0,56,645,Dec
143,Recording Studio | Madhur Dhir | #ARRivedSeries,2018-12-15,93188,41,887,Dec
144,Recording Studio | Antara Nandy | #ARRivedSeries,2018-12-15,97572,27,1002,Dec
145,A. R. Rahman | Amrita Talukder | Performer Of The Day | #ARRivedSeries,2018-12-14,1201756,387,11654,Dec
